year,lat,long,temperature,precipitation,mzb.biomass,Accipiter gentilis,Accipiter nisus,Actitis hypoleucos,Alle alle,Alopochen aegyptiacus,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas strepera,Anser albifrons,Anser anser,Anser brachyrhynchus,Anser fabalis,Anser spp / Branta spp.,Anser spp.,Anthus pratensis,Anthus spinoletta petrosus,Ardea cinerea,Arenaria interpres,Asio flammeus,Aythya ferina,Aythya fuligula,Aythya marila,Branta bernicla,Branta canadensis,Branta leucopsis,Bucephala clangula,Buteo buteo,Buteo lagopus,Calcarius lapponicus,Calidris alba,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris maritima,Calidris minuta,Calidris spp.,Calidris temminckii,Carduelis flavirostris,Charadrius alexandrinus,Charadrius dubius,Charadrius hiaticula,Charadrius morinellus,Chlidonias niger,Circus aeruginosus,Circus cyaneus,Clangula hyemalis,Corvus corone,Corvus corone cornix,Corvus monedula,Cygnus columbianus,Cygnus cygnus,Cygnus olor,Egretta alba,Egretta garzetta,Emberiza schoeniclus,Eremophila alpestris,Falco columbarius,Falco peregrinus,Falco tinnunculus,Fulica atra,Gallinago gallinago,Gallinula chloropus,Gavia arctica,Gavia stellata,Grus grus,Haematopus ostralegus,Haliaeetus albicilla,Larus argentatus,Larus argentatus cachinnans,Larus canus,Larus fuscus,Larus marinus,Larus melanocephalus,Larus minutus,Larus ridibundus,Larus sp.,Limicola falcinellus,Limicolae,Limosa lapponica,Limosa limosa,Lymnocryptes minimus,Melanitta fusca,Melanitta nigra,Mergus albellus,Mergus merganser,Mergus serrator,Milvus migrans,Motacilla alba,Netta rufina,Numenius arquata,Numenius phaeopus,Oenanthe oenanthe,Pandion haliaetus,Phalacrocorax carbo,Philomachus pugnax,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps auritus,Podiceps cristatus,Podiceps grisegena,Podiceps nigricollis,Recurvirostra avosetta,Rissa tridactyla,Scolopax rusticola,Somateria mollissima,Stercorarius longicaudus,Stercorarius parasiticus,Stercorarius pomarinus,Stercorarius skua,Sterna albifrons,Sterna caspia,Sterna hirundo,Sterna paradisaea,Sterna sandvicensis,Sturnus vulgaris,Sula bassana,Tachybaptus ruficollis,Tadorna ferruginea,Tadorna tadorna,Tringa erythropus,Tringa glareola,Tringa nebularia,Tringa ochropus,Tringa totanus,Uria aalge,Vanellus vanellus,Xenus cinereus
2007,53.76387,7.76623,NA,2.444657534,80.7357,0,0,2,1,0,7,6,3,18,47,0,0,0,30,0,2,1,0,0,0,6,27,5,0,0,1,33,1,3,7,0,1,0,45,44,17,0,3,1,0,0,1,3,0,26,0,1,0,22,0,0,0,0,0,0,2,0,0,0,13,1,4,0,0,4,0,0,1,0,65,0,65,0,42,44,41,1,0,55,2,0,5,26,4,0,1,1,0,1,2,0,0,0,51,4,0,0,38,0,0,12,8,30,0,3,1,0,13,1,0,52,0,1,0,0,8,1,12,2,19,0,0,0,0,57,5,2,17,4,36,0,19,0
2009,53.76387,7.76623,NA,2.146027397,4.5127,0,0,3,0,0,15,12,15,30,48,0,0,1,23,0,1,0,0,0,0,7,26,9,1,2,2,39,0,6,14,0,7,0,36,42,15,0,2,0,0,0,7,1,0,26,0,0,0,33,0,1,0,0,1,0,3,0,0,0,5,1,8,0,0,11,0,0,0,0,56,0,56,0,47,37,31,1,0,49,0,0,0,27,3,0,0,1,0,1,3,0,0,0,49,6,0,0,35,0,0,8,6,31,0,1,0,0,5,0,0,54,0,0,0,0,6,0,9,8,13,2,0,2,0,50,8,1,14,3,36,0,15,0
2010,53.76387,7.76623,NA,2.270958904,11.3401,0,0,7,0,0,14,9,14,29,56,0,1,0,33,1,0,0,0,0,0,3,34,14,0,1,0,33,0,7,12,2,7,1,33,48,19,0,3,0,0,0,10,1,0,27,1,0,3,22,0,0,1,1,0,1,0,0,0,1,12,0,12,10,0,4,0,0,0,0,68,0,74,0,66,47,53,0,1,61,0,1,0,29,0,0,0,4,0,0,3,0,3,0,58,3,0,0,41,1,3,18,7,38,0,7,0,0,8,0,0,65,0,0,0,0,11,0,24,8,23,1,0,0,1,56,4,0,11,0,49,0,13,0
2011,53.76387,7.76623,NA,2.578630137,17.91299,0,1,7,0,1,23,21,25,38,65,2,1,4,52,0,2,0,0,0,0,9,41,13,1,0,0,47,1,9,23,29,19,0,50,62,24,2,1,3,0,0,8,1,0,32,0,1,19,36,1,0,0,0,0,0,2,2,0,0,6,4,18,33,0,8,0,0,2,0,84,0,83,0,81,45,66,0,0,68,2,0,6,53,6,1,0,5,1,0,0,0,0,0,59,8,0,2,47,4,10,7,14,48,0,10,1,0,13,0,1,78,0,0,0,1,16,0,6,7,33,0,0,0,0,63,8,3,16,6,50,2,33,0
2012,53.76387,7.76623,NA,2.23442623,20.0881,0,0,6,0,3,15,22,29,37,56,0,4,3,51,1,2,0,0,0,0,10,33,9,1,0,0,38,0,5,26,0,10,0,38,52,23,4,1,3,0,1,3,6,1,37,0,2,0,25,0,0,0,0,0,2,0,2,0,0,5,3,16,0,0,12,0,0,8,0,65,0,71,0,65,43,56,0,0,56,0,0,0,45,5,0,1,9,0,0,1,0,0,0,59,9,0,0,42,3,18,8,18,50,0,7,0,0,7,1,0,64,0,0,0,0,8,0,9,6,23,0,0,3,0,64,9,5,24,7,44,0,22,0
2013,53.76387,7.76623,NA,2.176164384,12.6767,0,0,7,0,6,12,20,20,26,50,1,2,1,40,1,1,0,0,0,0,1,31,7,2,1,3,31,3,8,15,0,9,0,37,49,29,4,0,3,0,0,5,5,0,31,1,1,0,15,0,0,0,0,1,2,1,0,0,0,8,4,15,0,0,11,0,0,9,0,59,0,58,1,61,43,47,1,1,52,0,0,0,40,4,2,1,18,0,0,3,0,0,0,49,9,0,0,40,3,11,7,14,41,0,7,0,0,4,2,0,53,0,1,0,0,7,0,9,12,25,0,0,4,0,55,5,3,21,10,35,1,20,0
2014,53.76387,7.76623,NA,1.914794521,18.3193,2,1,5,0,9,17,29,21,32,47,0,3,2,50,0,1,0,0,0,0,4,33,6,0,0,8,40,1,18,11,3,6,0,27,51,29,0,3,1,0,0,9,0,1,26,0,0,8,8,0,0,0,0,0,0,0,0,0,0,3,3,17,5,0,7,1,0,1,0,73,0,75,0,70,45,60,0,0,65,0,0,0,35,4,2,2,9,0,0,0,0,0,0,50,8,0,0,51,3,13,11,13,35,0,5,0,0,12,0,1,64,0,1,0,0,2,0,4,3,24,0,0,3,1,59,4,0,18,3,40,1,19,0
2015,53.76387,7.76623,NA,2.414794521,6.85,0,0,5,0,8,12,19,14,31,56,1,0,3,45,0,0,0,0,0,0,4,28,2,0,0,1,41,1,17,8,0,6,0,42,58,29,2,0,0,0,0,3,1,0,31,0,0,0,18,0,0,0,0,0,1,5,3,1,0,3,2,17,0,0,6,0,0,6,0,83,0,86,0,73,65,67,1,0,76,0,0,0,32,1,1,0,17,0,0,0,0,0,0,53,10,0,0,59,2,26,6,8,36,0,5,1,1,18,1,0,67,0,0,1,0,7,0,7,8,26,0,0,3,0,66,7,0,22,3,47,0,20,1
2016,53.76387,7.76623,NA,1.965027322,129.85946,0,0,3,0,5,5,15,9,8,28,0,2,0,19,0,0,0,0,0,0,2,15,4,0,0,0,22,0,13,12,0,4,0,22,26,18,0,0,0,0,0,2,2,0,18,0,2,0,15,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,2,0,0,2,0,33,1,35,0,31,27,24,0,0,23,0,0,0,15,2,0,0,7,0,0,0,0,0,0,28,3,0,0,18,0,13,3,5,21,0,5,0,0,9,0,0,33,0,0,0,0,3,0,7,3,9,0,0,0,0,34,1,0,2,0,23,0,8,0
