year,lat,long,temperature,precipitation,mzb.biomass,Accipiter nisus,Actitis hypoleucos,Alauda arvensis,Alle alle,Alopochen aegyptiacus,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas strepera,Anser albifrons,Anser anser,Anser brachyrhynchus,Anser fabalis,Anser indicus,Anser spp / Branta spp.,Anser spp.,Anthus pratensis,Anthus spinoletta petrosus,Ardea cinerea,Arenaria interpres,Asio flammeus,Aythya ferina,Aythya fuligula,Aythya marila,Branta bernicla,Branta bernicla hrota,Branta bernicla nigricans,Branta canadensis,Branta leucopsis,Branta ruficollis,Bucephala clangula,Buteo buteo,Buteo lagopus,Calcarius lapponicus,Calidris alba,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris maritima,Calidris minuta,Calidris spp.,Carduelis flavirostris,Charadrius alexandrinus,Charadrius dubius,Charadrius hiaticula,Charadrius morinellus,Chlidonias niger,Circus aeruginosus,Circus cyaneus,Clangula hyemalis,Corvus corone,Corvus corone cornix,Cygnus columbianus,Cygnus cygnus,Cygnus olor,Egretta alba,Egretta garzetta,Eremophila alpestris,Falco columbarius,Falco peregrinus,Falco tinnunculus,Fulica atra,Fulmarus glacialis,Gallinago gallinago,Gavia arctica,Gavia stellata,Gelochelidon nilotica,Grus grus,Haematopus ostralegus,Haliaeetus albicilla,Hirundo rustica,Larus argentatus,Larus argentatus argenteus,Larus argentatus michahellis,Larus canus,Larus fuscus,Larus hyperboreus,Larus marinus,Larus melanocephalus,Larus minutus,Larus ridibundus,Larus sp.,Limicolae,Limosa lapponica,Limosa limosa,Lymnocryptes minimus,Melanitta fusca,Melanitta nigra,Mergus albellus,Mergus merganser,Mergus serrator,Motacilla alba,Motacilla flava,Numenius arquata,Numenius phaeopus,Oenanthe isabellina,Oenanthe oenanthe,Pandion haliaetus,Pernis apivorus,Phalacrocorax carbo,Phalaropus fulicaria,Phalaropus lobatus,Philomachus pugnax,Pica pica,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps cristatus,Podiceps grisegena,Rallus aquaticus,Recurvirostra avosetta,Scolopax rusticola,Somateria mollissima,Stercorarius longicaudus,Stercorarius parasiticus,Stercorarius skua,Sterna albifrons,Sterna caspia,Sterna hirundo,Sterna paradisaea,Sterna sandvicensis,Sturnus vulgaris,Sula bassana,Tachybaptus ruficollis,Tadorna ferruginea,Tadorna tadorna,Tringa erythropus,Tringa glareola,Tringa nebularia,Tringa ochropus,Tringa totanus,Turdus iliacus,Turdus pilaris,Uria aalge,Vanellus vanellus
2011,53.7216,8.15202,NA,2.578630137,1.2425,0,3,0,0,0,2,1,6,9,16,0,0,1,11,0,0,0,0,0,0,0,4,14,2,0,0,1,20,0,0,3,2,0,7,0,4,0,11,18,10,1,0,3,0,5,0,0,17,0,2,0,8,0,0,0,0,0,1,0,0,1,0,9,0,0,0,3,0,4,0,0,21,0,0,17,0,0,21,13,0,18,0,0,20,4,1,10,0,0,0,0,0,0,16,0,0,21,1,0,0,0,0,18,0,0,0,0,2,5,2,13,1,0,0,1,1,21,0,0,0,2,0,7,1,9,0,0,0,0,21,0,0,8,0,18,0,0,0,1
2012,53.7216,8.15202,NA,2.23442623,3.5566,0,3,0,0,0,7,2,9,15,18,0,0,1,12,0,1,0,0,0,0,2,3,18,4,0,1,2,22,0,1,0,2,0,6,0,0,0,14,21,16,2,1,1,0,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,8,0,0,23,0,0,23,0,1,22,19,0,23,3,0,20,7,2,14,1,1,0,1,0,3,14,0,0,23,3,0,0,0,0,19,1,0,0,0,5,6,2,17,10,0,0,2,1,23,0,0,1,3,0,10,3,9,0,0,0,0,23,2,0,10,2,18,0,0,0,3
2014,53.7216,8.15202,NA,1.914794521,136.1766,0,2,3,0,2,3,2,6,8,14,0,0,1,12,0,0,0,0,2,0,3,5,15,0,0,1,0,20,0,0,0,7,0,6,1,0,1,13,21,13,0,0,2,0,4,0,0,18,0,2,2,4,0,0,0,0,0,1,0,0,1,2,12,0,0,0,3,0,6,0,1,21,0,0,21,0,0,21,17,0,20,3,1,21,5,4,11,0,0,0,1,0,1,17,2,0,21,7,0,5,0,0,19,0,0,0,0,8,6,1,16,2,0,0,1,0,21,0,0,0,1,0,13,5,13,0,0,0,0,21,0,0,8,0,18,0,0,0,4
