year,lat,long,temperature,precipitation,mzb.biomass,Accipiter gentilis,Actitis hypoleucos,Alauda arvensis,Alca torda,Alle alle,Alopochen aegyptiacus,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas strepera,Anser albifrons,Anser anser,Anser fabalis,Anser spp / Branta spp.,Anthus pratensis,Anthus spinoletta,Anthus spinoletta petrosus,Ardea cinerea,Arenaria interpres,Asio flammeus,Aythya ferina,Aythya fuligula,Aythya marila,Botaurus stellaris,Branta bernicla,Branta canadensis,Branta leucopsis,Branta sp.,Bucephala clangula,Buteo buteo,Buteo lagopus,Calcarius lapponicus,Calidris alba,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris maritima,Calidris minuta,Calidris spp.,Carduelis flavirostris,Charadrius alexandrinus,Charadrius dubius,Charadrius hiaticula,Chlidonias niger,Circus aeruginosus,Circus cyaneus,Clangula hyemalis,Columba oenas,Columba palumbus,Corvus corone,Corvus corone cornix,Corvus monedula,Cygnus columbianus,Cygnus cygnus,Cygnus olor,Eremophila alpestris,Euplectes axillaris,Falco columbarius,Falco peregrinus,Falco tinnunculus,Fratercula arctica,Fulica atra,Gallinago gallinago,Gallinula chloropus,Gavia arctica,Gavia immer,Gavia stellata,Haematopus ostralegus,Haliaeetus albicilla,Larus argentatus,Larus argentatus michahellis,Larus canus,Larus fuscus,Larus marinus,Larus melanocephalus,Larus minutus,Larus ridibundus,Larus sp.,Limicolae,Limosa lapponica,Limosa limosa,Lymnocryptes minimus,Melanitta fusca,Melanitta nigra,Mergus albellus,Mergus merganser,Mergus serrator,Motacilla alba,Numenius arquata,Numenius phaeopus,Phalacrocorax carbo,Philomachus pugnax,Pica pica,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps auritus,Podiceps cristatus,Podiceps grisegena,Rallus aquaticus,Recurvirostra avosetta,Rissa tridactyla,Scolopax rusticola,Somateria mollissima,Stercorarius parasiticus,Stercorarius pomarinus,Stercorarius skua,Sterna albifrons,Sterna hirundo,Sterna paradisaea,Sterna sandvicensis,Tachybaptus ruficollis,Tadorna tadorna,Tringa erythropus,Tringa glareola,Tringa nebularia,Tringa ochropus,Tringa totanus,Turdus pilaris,Uria aalge,Vanellus vanellus
2007,53.75257,8.01525,NA,2.444657534,0.2263,0,4,1,0,0,0,0,1,1,4,20,0,0,0,1,0,0,1,0,2,1,21,0,0,1,0,0,15,1,0,0,7,3,3,0,10,17,8,0,4,1,0,2,0,0,13,0,0,6,0,0,0,0,0,0,0,0,0,4,0,1,6,2,0,0,1,1,0,0,2,22,0,22,0,20,19,14,0,0,17,3,1,15,1,0,0,2,0,0,12,0,22,2,21,0,0,1,4,1,12,0,1,0,0,2,1,0,22,0,0,0,7,8,5,9,0,21,2,0,7,0,21,0,0,1
2008,53.75257,8.01525,NA,2.493442623,0.2516,0,5,0,0,0,1,0,0,0,6,21,0,0,0,5,0,0,1,0,2,4,21,2,0,1,1,0,17,2,0,0,9,5,6,0,11,17,10,0,4,1,0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,1,0,4,0,2,5,0,0,0,1,0,0,0,2,23,0,18,0,17,9,15,1,0,15,5,4,12,0,0,0,2,0,0,7,0,20,2,21,0,0,0,7,3,14,0,1,0,0,1,0,0,23,0,0,0,2,1,2,5,0,23,0,0,6,0,23,0,1,4
2010,53.75257,8.01525,NA,2.270958904,0.1485,0,4,0,0,0,0,1,0,1,10,21,0,1,0,2,0,0,0,0,1,0,22,1,0,0,1,0,14,1,0,0,11,3,1,0,13,18,10,0,5,1,0,5,0,0,13,1,0,0,0,0,0,0,1,1,0,0,0,5,0,3,10,0,0,0,1,0,0,0,1,24,0,22,0,20,14,16,0,0,19,2,1,14,2,0,0,1,0,0,10,0,19,1,18,0,1,0,6,4,15,1,3,0,0,0,0,1,24,0,0,0,0,0,0,9,0,24,2,0,5,0,18,0,0,0
2011,53.75257,8.01525,NA,2.578630137,1.0646,0,0,0,0,0,4,1,0,1,4,21,0,0,1,5,0,0,0,0,0,2,16,4,0,0,0,0,14,1,0,0,11,0,4,0,11,15,10,0,4,0,0,7,0,0,15,1,0,3,0,0,0,0,0,0,0,0,0,7,0,0,12,0,0,0,1,0,0,0,2,22,0,22,0,20,12,17,2,1,15,3,1,10,1,0,0,0,0,0,5,0,20,0,18,0,0,0,5,6,10,0,4,0,0,1,0,1,22,0,0,0,0,1,0,4,0,22,1,0,1,0,18,0,0,1
2012,53.75257,8.01525,NA,2.23442623,0.957,0,5,0,0,0,3,0,0,3,6,20,0,0,0,1,0,0,0,0,1,2,18,0,0,0,0,0,15,0,0,0,8,0,0,0,11,16,11,1,5,0,0,4,0,1,15,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,1,23,0,23,0,22,20,22,1,0,19,3,3,16,0,0,1,2,0,2,7,0,23,2,19,0,0,0,3,1,15,0,2,0,0,0,0,1,23,0,0,2,4,10,6,11,0,23,1,0,4,1,18,0,1,0
2014,53.75257,8.01525,NA,1.914794521,0.7721,0,4,0,0,0,0,0,0,3,5,14,0,0,0,2,0,0,0,0,0,3,13,3,0,0,1,0,12,0,2,0,3,4,0,0,3,10,11,1,0,0,0,2,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,3,1,3,6,0,0,0,2,0,0,0,0,19,0,19,0,18,16,15,5,0,18,0,0,13,0,0,0,3,0,3,5,0,17,0,19,0,0,0,3,5,11,0,2,0,0,1,0,0,19,0,0,0,1,10,4,13,0,19,0,0,0,0,12,0,0,0
2015,53.75257,8.01525,NA,2.414794521,1.1238,0,5,0,0,0,9,0,0,1,7,19,1,1,1,5,0,0,0,0,1,3,19,2,0,0,0,0,17,0,2,0,4,0,0,0,8,17,9,0,4,0,0,2,1,0,13,0,1,2,0,0,0,0,0,0,0,1,2,3,0,0,6,0,0,0,1,0,0,0,0,22,1,20,1,19,18,18,8,0,17,10,11,11,0,0,1,1,0,3,7,0,22,0,22,0,0,2,4,3,13,0,6,0,0,0,0,1,22,0,0,0,2,5,4,9,0,22,0,0,4,0,20,0,1,1
