year,lat,long,temperature,precipitation,mzb.biomass,Accipiter gentilis,Accipiter nisus,Actitis hypoleucos,Alauda arvensis,Alca torda,Alcedo atthis,Alopochen aegyptiacus,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas sp.,Anas strepera,Anser albifrons,Anser anser,Anser brachyrhynchus,Anser caerulescens,Anser erythropus,Anser fabalis,Anser indicus,Anser spp / Branta spp.,Anser spp.,Anthus cervinus,Anthus pratensis,Anthus spinoletta,Anthus spinoletta petrosus,Ardea cinerea,Arenaria interpres,Asio flammeus,Asio otus,Aythya ferina,Aythya fuligula,Aythya marila,Aythya nyroca,Branta bernicla,Branta canadensis,Branta leucopsis,Branta ruficollis,Bucephala clangula,Buteo buteo,Buteo lagopus,Calidris alba,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris maritima,Calidris minuta,Calidris spp.,Calidris temminckii,Carduelis cannabina,Carduelis chloris,Carduelis flavirostris,Carpodacus erythrinus,Charadrius alexandrinus,Charadrius dubius,Charadrius hiaticula,Charadrius morinellus,Charadrius sp.,Chlidonias niger,Ciconia nigra,Circus aeruginosus,Circus cyaneus,Clangula hyemalis,Columba oenas,Columba palumbus,Corvus corone,Corvus corone cornix,Corvus corone corone,Corvus frugilegus,Corvus monedula,Cuculus canorus,Cygnus columbianus,Cygnus cygnus,Cygnus olor,Egretta alba,Egretta garzetta,Eremophila alpestris,Falco cherrug,Falco columbarius,Falco peregrinus,Falco subbuteo,Falco tinnunculus,Fulica atra,Fulmarus glacialis,Gallinago gallinago,Gallinula chloropus,Gavia arctica,Gavia stellata,Geronticus eremita,Haematopus ostralegus,Haliaeetus albicilla,Larus argentatus,Larus canus,Larus fuscus,Larus glaucoides,Larus marinus,Larus melanocephalus,Larus minutus,Larus ridibundus,Larus sp.,Limicola falcinellus,Limicolae,Limosa lapponica,Limosa limosa,Lymnocryptes minimus,Melanitta fusca,Melanitta nigra,Mergus albellus,Mergus merganser,Mergus serrator,Milvus migrans,Motacilla alba,Netta rufina,Numenius arquata,Numenius phaeopus,Oenanthe oenanthe,Pandion haliaetus,Pernis apivorus,Phalacrocorax carbo,Phalaropus fulicaria,Phalaropus lobatus,Philomachus pugnax,Phoenicopterus ruber ruber,Pica pica,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps auritus,Podiceps cristatus,Podiceps grisegena,Podiceps nigricollis,Rallus aquaticus,Recurvirostra avosetta,Rissa tridactyla,Scolopax rusticola,Somateria mollissima,Stercorarius parasiticus,Stercorarius pomarinus,Stercorarius skua,Sterna albifrons,Sterna hirundo,Sterna paradisaea,Sterna sandvicensis,Sturnus vulgaris,Sula bassana,Tachybaptus ruficollis,Tadorna ferruginea,Tadorna tadorna,Tringa erythropus,Tringa glareola,Tringa nebularia,Tringa ochropus,Tringa stagnatilis,Tringa totanus,Turdus pilaris,Uria aalge,Vanellus vanellus,Xenus cinereus
1991,53.72005,7.25419,9.297534247,1.544657534,74.8238,0,0,0,0,0,0,0,34.83333333,0,28.5,151.1111111,195.2666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.25,0,0,0,0,0,0,291.625,0,0,0,5,0,0,0,583.5,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2129.333333,0,347.1666667,172,29.66666667,0,4.25,0,0,410.3,0,0,0,141.6666667,16.94444444,0,0,0,0,0,16,0,0,0,484.6,0,0,0,0,0,0,0,0,0,0,0,0,618,38.66666667,0,0,0,0,0,35.22222222,0,0,169.5,0,0,0,7,30,8,0,0,0,0,0,195.4666667,1,0,23,0,0,43.63333333,0,0,44.08333333,0
1992,53.72005,7.25419,10.26338798,2.08989071,51.62707143,0,0,1,0,0,0,0,19,21.28571429,17,433.7692308,368.5833333,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,3,10.25,0,0,25.66666667,0,0,0,319.0909091,0,1,0,0,0,0,35.85714286,2525.263158,23.75,0,0,0,145,0,0,0,0,0,2.333333333,0,81.85714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57142857,0,0,0,0,0,0,0,1,0,0,0,0,4355.138889,0,531.7,88.23076923,48.38888889,0,50.66666667,0,0,390.7413793,280,0,164.3333333,634.8666667,0,0,0,4,0,0,1.333333333,0,0,0,973.6111111,1.5,0,0,0,60.41666667,0,0,0,0,0,1,0,395.4,714,0,1,0,0,0,309.1333333,0,0,488.9642857,0,0,0,19.72727273,0,9,24.38461538,0,0,1,0,296.9871795,4.25,0,104.6666667,0,0,78.72222222,0,0,15.6,0
1993,53.72005,7.25419,8.881643836,2.104931507,63.92757692,0,0,1.75,0,0,0,0,15.76923077,4.5,111,319.21875,220.4196429,0,0,0,64,8.666666667,0,0,0,0,0,0,0,0,0,0,0,6.1,42.80769231,0,0,0,2,0,0,144.1911765,2,5,0,4.333333333,0,1,62.78070175,737.3410853,323.3333333,96.5,2.5,35,0,0,0,0,25.66666667,0,0,0,25.79310345,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.09090909,0,0,1,0,0,4.5,0,1.5,0,0,0,0,1754.027778,0,447.2025641,128.3629032,41.32520325,0,29.97368421,0,0,447.7942708,25,0,123.3333333,270.75,9.5,0,0,0,0,0,1,0,0,0,843.5703704,1.5,0,1,0,38.92307692,0,1,0,0,0,0,51,373.125,299.5752688,0,2.5,1,0,0,110.8333333,0,0,203.8240741,0,0,0,11.625,5.6,11.16666667,26.3125,0,0,0,0,342,10.8,0,174.125,0,0,87.75,0,0,41.425,0
1994,53.72005,7.25419,9.970410959,2.436986301,45.77475,0,0,4,0,0,0,0,44.25,4.545454545,54.97916667,266.1538462,155.9121212,0,0,0,0,11.71428571,0,0,0,0,0,0,0,0,0,0,0,1.739130435,41.59302326,0,0,0,1,1,0,175.8371212,0,33,0,2,0,3,98.59027778,802.8145833,13,0,19.4375,2,0,0,0,0,92.6,0,6,48,26.03571429,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.5,1,1,22.05555556,0,0,0,0,0,8,0,5.222222222,3.6,0,0,0,1447.224747,0,505.8174769,249.3653846,51.91904762,0,11.81111111,0,0,184.2405473,167.5,0,187.5,461.4814815,5.75,0,0,1,0,0,1,0,0,0,1218.561594,17.8,0,0,0,41.04,0,0,9,0,0,10.5,15.83333333,230.952381,432.9954955,0,1.571428571,0,0,1,133.4772727,0,1,132.4416667,1,0,0,12.25,16.04166667,24.64444444,32.19444444,0,0,0,0,299.204023,28.18181818,0,182,8,0,80.72916667,0,0,32.14444444,0
1995,53.72005,7.25419,9.604657534,2.265205479,48.30448667,0,0,3.923076923,0,0,0,0,48.66,3.8125,44.66666667,249.1975309,65.56949686,0,0,0,0,12.83333333,0,0,0,0,0,0,0,0,0,0,0,3.678571429,31.22222222,0,0,0,2,0,0,178.6813725,0,1.5,0,2.6,0,0,86.35238095,768.003876,127.1428571,0,11.7,0,0,0,0,0,46.18181818,5,2,0,22.08235294,0,0,2.666666667,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1,38.53703704,0,0,1,0,0,5.428571429,0,6.6,1.75,0,1,0,1123.167514,0,213.9423107,132.2424242,52.05347222,0,16.58913043,0,0,293.7342063,109,0,133,495.2058824,2.545454545,0,0,1,0,1,4,0,0,0,661.6666667,18.55555556,0,0,0,10.87931034,0,0,1.5,0,0,3,20.375,259.4,281.6161616,0,1.428571429,0,0,0,117.3095238,0,0,203,0,0,0,18.92857143,4.714285714,4.857142857,26.18518519,0,0,0,0,196.4526144,46,1,85.15625,0,0,58.41880342,0,0,29.17857143,0
1996,53.72005,7.25419,7.820218579,1.401092896,35.45025294,0,0,2.388888889,0,0,0,0,98.125,7.909090909,4.636363636,276.7722222,107.725,4,0,0,1.5,24.96153846,0,0,0,0,0,0,0,0,0,1,0,2.178571429,19.7816092,1,0,0,2.25,2,0,50.68571429,1,1.625,0,8.5,0,1,24.33333333,542.05,24,0,9.7,0,0,0,0,0,49.79710145,0,1,0,35.95652174,0,0,1,0,0,1.375,0,0,0,0,0,0,0,0,0,0,6,2,0,0,14.57142857,0,0,0,0,0,1.8,0,1,1.4,1,4.666666667,0,1318.353418,0,174.9515018,147.5695402,45.37896825,0,14.18777778,0,0,279.2691257,0,0,0,773.2884615,46,0,0,1,0,0,1,0,0,0,655.6666667,10.25,0,0,0,36.43939394,0,0,0,0,0,1,46.58333333,156.8055556,421.1987179,0,1.75,1.5,0,0,61.92647059,0,0,199.7524876,0,0,0,8.05,4.166666667,4.666666667,16.64705882,0,0,0,0,603.8201754,5,0,54.0952381,0,0,125.1594203,0,0,102.8703704,0
1997,53.72005,7.25419,9.581917808,1.376438356,41.91592667,0,0,4.714285714,0,0,0,0,43.39130435,2,12.27777778,117.1351351,70.17929293,0,0,0,0,21.57291667,0,0,0,0,0,0,0,0,0,0,0,1.529411765,24.57352941,1,0,0,2.75,5,0,79.25757576,1,1.083333333,0,5.25,0,2.175438596,8.82183908,445.6984127,24.8,0,15,0,0,0,0,0,59.59803922,0,2,0,38.65350877,0,0,0,0,3,1.416666667,0,0,0,0,0,0,0,0,0,0,0,6.666666667,0,0,35.71666667,0,1,1,0,0,2.1,0,1.5,2.875,0,0,0,1688.090376,0,352.3466732,95.83380952,69.678,0,6.108974359,0,0,390.0298611,215.8571429,0,270,560.7142857,11.03571429,0,0,1,0,1,6.625,0,0,0,867.3805031,4.166666667,0,0,0,21.74137931,0,0,1,0,0,6.666666667,39.42307692,657.7,230.4583333,0,2.5,1,2,0,77.3,0,0,120.0886243,0,0,0,5.785714286,3.653846154,7.547619048,16.42592593,0,0,0,1,380.9383838,41.63333333,0,142.6086957,0,0,94.53773585,0,0,32.69259259,0
1998,53.72005,7.25419,9.685205479,2.567945205,63.29719286,0,0,7.416666667,0,0,0,0,46.64285714,5.454545455,33.83333333,318.0588235,74.78104575,0,0,2,1,29.175,0,0,0,0,0,0,0,0,0,0,0,1.75,28.46666667,1.333333333,0,8.5,6.333333333,1,0,30.890625,0,1.333333333,0,8.1,0,1.2,21.78623188,341.3020833,278.0625,0,10.09090909,0,0,0,0,0,41.42857143,0,0,15,22.66161616,7,0,0,0,1.527777778,1.401041667,0,0,0,0,0,0,0,0,0,0,14,4,0,0,32.36666667,0,1.5,1,1,0,5.75,0,1.666666667,2.5,0,0,0,1163.40117,0,213.1831662,62.06212121,54.20348837,0,16.51296296,0,0,341.0357143,192.2777778,0,79.875,362.6363636,10.33333333,0,0,0,0,2,1,0,0,0,421.4651163,5,0,0,0,22.15,0,1,7,0,0,2.5,35.5,193.9375,131.3630952,0,1.875,0,0,0,126.5,0,0,232.2545455,0,0,0,6.818181818,14.98148148,9.733333333,31.07575758,0,0,0,0,474.0833333,19.7,0,59.05882353,0,0,73.56699346,0,1,40.35897436,2
1999,53.72005,7.25419,10.5139726,2.003835616,85.96826111,0,0,3.571428571,0,0,0,0,60.56818182,7.825,13.71428571,118.4354839,91.70327381,1.5,0,5.2,22,13.51785714,0,0,0,0,0,0,0,0,0,0,0,2.3125,29.81306306,1,0,3,3.958333333,2,0,42.51470588,0,1.8,0,4.846153846,0,1.461538462,30.76785714,311.5855856,260.3333333,4,41,11,0,0,0,0,40.2,0,2,0,43.3989899,0,0,0,0,1.363636364,1.28125,0,0,0,0,0,0,0,0,0,0,2,2,0,0,17.71875,0,1,1.5,0,0,4.909090909,0,4.666666667,2.642857143,0,1,0,1096.480594,0,285.0159817,116.7342995,63.69746377,0,10.60601977,0,0,399.7511737,213.2777778,0,983.6666667,391.75,9.392857143,0,0,0,0,2,0,0,0,0,403.0641509,11,0,0,0,15.98529412,0,1,0,0,0,19.5,26.88888889,284.3257576,130.7575758,0,3,0,0,0,47.51724138,0,0,102.9551282,1,1,0,12.58333333,5.583333333,11.08333333,43.25,0,0,0,0,406.6282051,76.75,0,31.41666667,0,0,73.72727273,0,1,41.17628205,0
2000,53.72005,7.25419,10.25027322,1.760928962,104.37375,0,0,3.545454545,0,0,2,0,27.27272727,3.846153846,6.666666667,126.796875,72.42892157,0,0,5.111111111,1.5,16.25,9,0,0,0,0,0,0,0,0,0,0,3.277777778,28.57142857,4.5,0,1,5,0,0,64.87777778,0,1.142857143,0,4.777777778,0,1.5,26.78240741,810.4791667,238.8076923,0,29.60714286,1,0,0,0,0,12,0,258.3333333,0,81.04761905,0,0,0,0,1.4,1.2,1,0,0,0,0,0,0,0,0,0,0,2.428571429,0,0,19.625,1,1,1,0,0,3.692307692,0,1.583333333,3.166666667,0,0,0,1021.388514,0,148.6565315,133.0108696,48.80367232,0,6.853030303,0,8.5,397.6114865,197.8125,0,752.875,312.1049383,9.85,0,3,1,0,1,1.333333333,0,0,0,398.3387097,7.166666667,0,0,0,11.41056911,0,0,0,0,0,6.75,19.14285714,140,62.68571429,0,1.142857143,0,0,0,97.73611111,0,0,142.2027027,0,0,1,8.035714286,3.666666667,28.21568627,21.13194444,0,0,1,0,210.3208955,67.75,1,95.5625,3,0,82.01282051,0,1,51.10169492,0
