year,lat,long,temperature,precipitation,mzb.biomass,Accipiter gentilis,Accipiter nisus,Actitis hypoleucos,Alauda arvensis,Alca torda,Alcedo atthis,Alopochen aegyptiacus,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas sp.,Anas strepera,Anser albifrons,Anser anser,Anser brachyrhynchus,Anser caerulescens,Anser erythropus,Anser fabalis,Anser indicus,Anser spp / Branta spp.,Anser spp.,Anthus cervinus,Anthus pratensis,Anthus spinoletta,Anthus spinoletta petrosus,Ardea cinerea,Arenaria interpres,Asio flammeus,Asio otus,Aythya ferina,Aythya fuligula,Aythya marila,Aythya nyroca,Branta bernicla,Branta canadensis,Branta leucopsis,Branta ruficollis,Bucephala clangula,Buteo buteo,Buteo lagopus,Calidris alba,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris maritima,Calidris minuta,Calidris spp.,Calidris temminckii,Carduelis cannabina,Carduelis chloris,Carduelis flavirostris,Carpodacus erythrinus,Charadrius alexandrinus,Charadrius dubius,Charadrius hiaticula,Charadrius morinellus,Charadrius sp.,Chlidonias niger,Ciconia nigra,Circus aeruginosus,Circus cyaneus,Clangula hyemalis,Columba oenas,Columba palumbus,Corvus corone,Corvus corone cornix,Corvus corone corone,Corvus frugilegus,Corvus monedula,Cuculus canorus,Cygnus columbianus,Cygnus cygnus,Cygnus olor,Egretta alba,Egretta garzetta,Eremophila alpestris,Falco cherrug,Falco columbarius,Falco peregrinus,Falco subbuteo,Falco tinnunculus,Fulica atra,Fulmarus glacialis,Gallinago gallinago,Gallinula chloropus,Gavia arctica,Gavia stellata,Geronticus eremita,Haematopus ostralegus,Haliaeetus albicilla,Larus argentatus,Larus canus,Larus fuscus,Larus glaucoides,Larus marinus,Larus melanocephalus,Larus minutus,Larus ridibundus,Larus sp.,Limicola falcinellus,Limicolae,Limosa lapponica,Limosa limosa,Lymnocryptes minimus,Melanitta fusca,Melanitta nigra,Mergus albellus,Mergus merganser,Mergus serrator,Milvus migrans,Motacilla alba,Netta rufina,Numenius arquata,Numenius phaeopus,Oenanthe oenanthe,Pandion haliaetus,Pernis apivorus,Phalacrocorax carbo,Phalaropus fulicaria,Phalaropus lobatus,Philomachus pugnax,Phoenicopterus ruber ruber,Pica pica,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps auritus,Podiceps cristatus,Podiceps grisegena,Podiceps nigricollis,Rallus aquaticus,Recurvirostra avosetta,Rissa tridactyla,Scolopax rusticola,Somateria mollissima,Stercorarius parasiticus,Stercorarius pomarinus,Stercorarius skua,Sterna albifrons,Sterna hirundo,Sterna paradisaea,Sterna sandvicensis,Sturnus vulgaris,Sula bassana,Tachybaptus ruficollis,Tadorna ferruginea,Tadorna tadorna,Tringa erythropus,Tringa glareola,Tringa nebularia,Tringa ochropus,Tringa stagnatilis,Tringa totanus,Turdus pilaris,Uria aalge,Vanellus vanellus,Xenus cinereus
2001,53.72005,7.25419,9.888219178,2.529315068,132.4044778,0,0,1.875,0,0,0,0,97.57575758,11.2,15.61904762,124.2905983,101.0809859,0,0,4.40625,0,19.95,0,0,0,0,2,0,0,0,0,0,0,2.208333333,33.63617886,1.4,0,14.66666667,11.86363636,0,0,136.0125,0,1,0,4.2,6,1,19.67346939,439.6857143,172,0,39.96153846,0,0,0,0,0,13,0,0,0,61.53030303,0,0,0,0,1,1.520833333,0,0,62.33333333,5.5,0,0,0,18.3,0,0,0,4.666666667,0,0,12.5,0,1,1.142857143,0,0,8.171428571,0,4.230769231,6.707317073,0,0,0,1038.355787,1,270.023516,140.9275362,104.2570621,0,3.472222222,0,3,213.4427861,220,0,208.5,208.862069,14.875,0,0,1.666666667,0,0,5,0,3,2,388.3107345,22.36363636,0,0,0,32.49099099,0,0,0,0,4,12.5,6.375,219.7777778,129.6208333,0,1.857142857,0,0,0,48.45588235,0,0,203.9074074,0,1,0,21.86363636,8.5,21.48333333,19.78666667,357.6666667,0,5,0,217.2585784,26.71428571,0,391.1923077,9,0,75.52083333,0,0,82.21698113,0
2002,53.72005,7.25419,10.37369863,2.33369863,76.34808333,1,1,3.083333333,0,0,0,0,44.68965517,13.04166667,12.94230769,232.0045045,103.0861582,3,0,5.026315789,0,27.75,0,0,0,0,0,0,0,0,0,0,0,2.25,34.78070175,1,0,2,4,1,2,82.90909091,0,1,0,2.1,2.261904762,2.785714286,90.51801802,338.1441441,127.6,0,34.25,0,0,0,0,0,22.92857143,0,1,0,56.2952381,0,0,0,0,2.142857143,1.259803922,0,3.5,31.33333333,0,0,12.65384615,10,20.95454545,0,0,3,4.333333333,0,0,16.90909091,0,1.142857143,1.166666667,0,1.296296296,3.652173913,0,2.090909091,2.411764706,0,1,0,1217.826291,0,198.63125,143.4064286,70.86581921,0,5.363636364,0,566,411.3468137,2,0,1225.2,383.3571429,6.970588235,0,1.5,3.25,1,1.333333333,2.75,0,3.75,0,662.3135593,9.625,6.333333333,0,0,15.59401709,0,0,4,0,11,6.833333333,23.13333333,189.9252874,132.3,1,2.333333333,0,0,0,73.625,0,0,116.6164216,0,0,1,10.5,11.2,12.01282051,35.68518519,55.14285714,0,1.714285714,0,180.3333333,10.61538462,0,108.4038462,3.428571429,2,157.125,3.5,0,71.35344828,0
2003,53.72005,7.25419,9.936712329,1.64,55.29090588,0,0,2.125,0,0,0,1,68.51785714,3.818181818,10.72916667,187.2991453,142.7138889,1.5,0,6.181818182,0,26.24193548,2,3,0,1,0,0,0,0,0,0,13.75,2.233333333,34.4822695,1.25,0,1.5,3,117,0,32.93243243,6.666666667,1,0,3.8,2.325203252,1.384615385,27.46190476,380.7235772,155.9705882,3,36.25,3,0,0,0,0,54.41666667,0,3,1,30.41111111,2,0,0,0,1.75,2.285714286,0,0,0,0,0,0,0,0,0,0,0,4.4,1,1,48.45098039,0,1,1.285714286,1,1.411764706,3.0625,1,2.214285714,2.392857143,0,1,0,1085.29507,0,215.070892,112.4402381,84.75978261,0,9.44,1,12,288.1931818,150,0,985.4,323.25,10.28125,2,0,15.5,1,8.25,4,0,0,0,551.4121212,11.83333333,2.666666667,0,1,23.88571429,0,0,1,0,0,20,24.15151515,377.0625,164.3564815,0,2,0,0,0,57.2962963,0,0,122.4742647,0,0,0,10.61538462,8.78125,11.73529412,28.3015873,0,1,0,0,269.4825269,25.16666667,4,96.21428571,1,0,67.26344086,0,1,48.24968553,0
2004,53.72005,7.25419,10.04043716,2.324590164,45.6497,0,1,3.916666667,0,0,0,2,73.12962963,2.714285714,5.921052632,150.8108108,83.88059701,0,0,6.0625,4,21.58139535,0,0,0,0,0,0,0,0,0,0,0,2.375,18.89147287,1.25,0,0,1,1,0,44.0787037,1,4.3,1,2.727272727,1.785714286,1,30.59756098,408.1981982,82.61904762,2.25,33.85964912,10,0,0,0,0,60.33333333,0,4,2,42.39102564,1,0,0,1,2.1,1.742424242,0,0,0,0,0,0,0,0,0,1,0,3.666666667,0,1.5,20.86666667,0,1,1.142857143,1,1.25,1.666666667,0,3.3125,1.888888889,0,0,0,821.7600877,0,124.9252193,93.18571429,75.10984848,0,10.18518519,0,0,227.837037,0,0,34,397.4583333,15.5,0,0,1,0,0,1,1,0,0,331.9649123,2,3.033333333,0,1.25,13.61261261,0,0,5,0,0,13.18181818,25.76923077,529.6481481,162.2280702,0,2.333333333,0,0,0,67.18518519,0,0,36.74358974,0,0,0,11.55555556,6.977777778,9.266666667,82.64035088,0,0,1,0,275.752451,5.181818182,2,11.9047619,0,1,20.81818182,0,1,87.93137255,0
2005,53.72005,7.25419,10.15616438,1.799452055,63.75818,0,1,3.75,0,0,0,2,56.5,3.142857143,10.96666667,117.0405405,71.24253731,0,0,7.041666667,0,23.8125,0,0,0,0,0,0,0,0,0,0,0,2.785714286,33.34444444,1.25,2,1.5,11.33333333,0,0,26.22580645,1,1.375,0,2.8,2.757142857,1,15.89393939,334.5833333,13.11538462,1,40.6,6,0,1,0,0,0,0,1,0,60.078125,0,0,0,0,1.554054054,1.851851852,0,0,0,0,0,0,0,0,0,0,0,3.714285714,0,0,29.33333333,0,1,1.25,0,1.375,1.5,0,1.2,1.5,0,0,0,887.7119048,0,174.9433333,162.5018229,70.20660377,0,8.323809524,1,0,297.9228856,0,0,216.6666667,415.3181818,44.31818182,0,0,1,0,0,0,0,0,0,402.7231638,9.857142857,7.270833333,0,0,13.42682927,0,0,0,1,0,18.6875,35.5625,384.5294118,118.2847222,0,1,0,0,0,49.51612903,0,0,39.81989247,0,0,0,6.424242424,12.43589744,9.333333333,21.36904762,0,0,0,0,175.819697,2.4,1,57.90625,1.333333333,0,51.43396226,0,1,68.54320988,0
2006,53.72005,7.25419,10.67342466,2.023561644,64.08100844,0,1,3.125,0,0,1,1.714285714,85.27586207,2.75,17.70512821,161.254386,81.97619048,23,0,7.09375,4.666666667,37.05263158,0,0,1,3,0,0,0,0,0,0,0,2,24.19715447,0,0,0,5.875,0,0,70.2,1,2.916666667,0,5.666666667,2.081081081,1,13.5483871,472.6621622,73.8125,0,22.3,0,0,0,2.5,0,15,0,26,0,46.39655172,6,0,0,0,1.823529412,1.481481481,0,0,0,0,0,0,0,0,1,0,0,1.333333333,1,1,34.125,0,0,1,0,1.1875,1.333333333,0,0,1.2,0,0,0,895.9328638,0,231.6232394,66,80.92166667,0,13.70666667,0,0,311.1727941,0,0,47.5,270.3333333,72.5,0,1,0,0,0,3,0,0,0,567.3333333,1,5.818181818,0,0,20,0,0,0,0,0,20.38461538,33,302.9354839,144.4583333,0,1.5,0,0,0,42.23529412,0,0,52.22404372,1,0,0,13.08333333,7.392857143,9.833333333,14.05882353,0,0,0,0,170.4266169,1.333333333,0,73.41666667,0,0,48.81818182,0,1,82.01234568,0
2007,53.72005,7.25419,10.99287671,2.236164384,83.37644444,0,0,1.5,0,0,0,2.071428571,82.42222222,3.111111111,17.05263158,201.4285714,62.98872549,0,0,4.428571429,0,31.42333333,0,0,0,9,0,25,0,0,0,0,0,1.642857143,23.61833333,0,0,1.25,7.352941176,0,0,60.04545455,0,2.1,0,1.857142857,0,1,21.03508772,479.1036036,223.0634921,0,27.65384615,0,0,0,0,0,0,0,0,0,40.71333333,0,0,0,0,0,1.125,0,0,0,0,0,0,0,0,0,0,0,1.8125,0,1,10.9375,0,0,1,0,0,10.45,0,2.666666667,1.333333333,0,0,1,1197.868095,0,173.9256944,63.24065657,64.37234043,0,18.19791667,0,13,149.4240196,269.125,0,1577.142857,260.5217391,19.52941176,0,0,3.1,0,0,0,0,0,0,371.4385965,30.5,0,0,0,9.283687943,0,0,0,0,0,15.91666667,18.46153846,1141.75,124.6089744,0,1.714285714,0,0,0,48.05769231,1,0,64.87853107,0,0,0,14.86363636,9.214285714,8.230769231,39.6372549,0,0,1,0,127.6393035,117.6666667,0,112.0769231,3.5,0,51.57843137,0,0,90.99090909,0
2008,53.72005,7.25419,10.38387978,2.459289617,67.4171,0,0,2,0,0,0,2.666666667,98.89130435,2.611111111,3.25,272.6428571,72.40251572,0,0,12.11764706,5,54.16666667,0,0,0,0,0,0,0,0,0,0,0,1.75,33.72916667,1,0,0,3,0,0,68.54761905,0,14,0,1.5,0,0,27.19791667,933.9393939,332.625,0,19.71428571,0,0,0,0,0,5,0,1,37,64.32352941,0,0,3,0,0,1.6875,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12.33333333,0,0,1,0,0,1,0,2.2,1.833333333,0,0,0,945.5207071,1,165.069403,104.1054422,62.30426357,0,5.661290323,0,0,238.7283626,0,0,208,210.7820513,4.818181818,0,0,0,0,5,0,0,0,0,888.1413043,8.8,0,0,0,17.41085271,0,0,0,0,0,21.5625,19.2,1057.647059,154.5,0,1.55,0,0,0,18.02941176,0,0,112.3099415,0,0,0,17.57407407,7.8125,13,43.17391304,0,0,2.666666667,0,111.2232143,145.2916667,0,167.375,2,0,83.41304348,0,0,147.8428571,0
2009,53.72005,7.25419,10.02136986,1.791506849,55.25968444,1,0,2.961538462,7.666666667,0,1,1.928571429,82.85,8,9.05,191.1439394,66.79952381,0,0,21.22222222,0,25.66176471,0,0,0,0,0,0,0,1,3.75,0,0,1.869047619,28.36403509,1,0,0,13.33333333,0,0,62.01149425,1,2,0,1.666666667,2.543478261,0,14.06111111,368.6447368,238.7777778,0,40.70833333,0,0,0,28,8,0,0,0,0,41.63888889,0,0,1,0,1,1.4375,1,6,67.07142857,5.43872549,1,0,0,7.4,0,0,0,2.761904762,0,0,24.8,0,0,1.25,0,1.357142857,8.875,0,6.75,2.166666667,0,0,0,836.0505952,0,160.4702966,53.84021739,48.11630435,0,9.268292683,0,0,160.3202624,20,0,0,525.0196078,4.3125,0,0,20,0,0,0,0,4.833333333,0,628.6916667,13.72727273,1,0,0,13.10585586,0,2,0,0,4.142857143,12.63636364,21.8125,777.1,102.5294118,0,1.6,0,5,0,32.18518519,0,0,90.60802469,0,0,0,8.453703704,4.875,24.01388889,22.08333333,160.9285714,0,1,0,284.0977477,31.78571429,0,166.4117647,1,0,84.58585859,21.4,0,53.84782609,0
2010,53.72005,7.25419,8.497808219,2.052054795,45.24108889,0,0,6.19047619,0,0,0,4.727272727,153.8611111,3,15.75,106.453125,91.29824561,0,154,13.1031746,22,55.92248062,0,0,0,2.5,0,0,0,0,0,0,0,1,63.19503546,1,0,5.333333333,4.235294118,0,0,50.8,0,1,0,5,0,0,27.43181818,412.9087302,336.74,5,25.71052632,38.5,0,0,0,0,43,0,1,0,51.65432099,0,0,2,0,0,1.6,0,0,0,0,0,0,0,0,0,1,0,2.239130435,0,0,10.5,0,1,1.25,0,0,5.526315789,0,31.66666667,2.166666667,0,1.5,0,892.6012626,0,351.4906566,101.094086,98.01375,0,9.581666667,0,5,186.8038462,195,0,3080,759,18.38461538,0,0,1.818181818,0,3,1.857142857,0,0,0,537.0333333,24.53333333,0,0,0,10.85714286,1,0,0,0,0,23.1875,20.09090909,485.5064103,262.9736842,1,2,0,0,0,28.30555556,1.6,0,60.60233918,0,0,0,14.4375,7.2,32.25641026,15.54166667,0,0,2,0,336.4336735,10.66666667,0,337.1818182,1.5,0,70.32291667,0,0,54.91880342,0
2011,53.72005,7.25419,10.03726027,2.184109589,46.8609125,0,0,3.125,0,1,0,2.772727273,159.5588235,10.42857143,7.714285714,146.9807692,122.9092593,0,0,3.833333333,86,78.81208333,0,0,0,0,0,0,0,0,0,0,0,1,65.18604651,0,0,3,8.833333333,0,0,58.95945946,0,6,0,27.375,0,1,66.62222222,924.6296296,222.0769231,0,26.60526316,0,0,0,0,0,39,0,2,2,136.0438596,0,0,0,0,0,1.884615385,0,0,0,0,0,0,0,0,0,0,1,2.230769231,1,0,50,0,1,1,0,0,3.25,0,1,0,0,0,0,1032.640164,0,263.0422743,69.74502924,64.06767677,0,14.45925926,0,2,150.1286723,0,0,0,600.7888889,16.63636364,0,0,6.642857143,0,0,0,0,0,0,605.282197,1,0,0,0,13.25833333,0,0,0,0,0,25,12.2,900.1315789,252.8076923,0,1.666666667,0,0,0,7.5,1,0,174.4847222,0,0,0,13.55555556,7.4,7.6875,32.12745098,0,1,0,0,490.159058,11.66666667,1,23,0,0,84.18571429,0,1,47.08611111,0
2012,53.72005,7.25419,9.738251366,2.428415301,41.56946667,0,0,2,0,0,0,2.666666667,46.86666667,3.5,9,95.92592593,83.39444444,0,0,4.125,0,70.19259259,0,0,0,0,0,0,0,0,0,0,0,1.666666667,57.68478261,0,0,1,0,0,0,82.40740741,3.25,1028.2,0,9.625,0,2,17.93103448,497.8939394,272.4722222,0,41.40909091,0,0,0,0,0,3.5,0,1,0,97.15,0,0,0,0,0,1.375,0,0,0,0,0,0,0,0,0,0,5,2.2,1,0,15.57142857,0,1,1.285714286,0,0,1,0,0,1,0,1,0,706.577381,0,222.0855556,42.01969697,55.24393939,0,13.61481481,0,0,143.5151515,0,0,0,571.8958333,8.549019608,0,0,1980,0,0,0,0,0,0,496.1666667,1,0,1,0,11.78205128,0,0,0,0,0,34.2,32,814.5238095,151.7916667,0,1.928571429,54,0,0,14.08333333,2,0,134.2063492,0,0,0,8.855555556,1.333333333,15.61111111,17.19791667,0,0,1,0,240.1879433,8.666666667,3,147.4444444,3,0,34.85772358,0,0,44.02314815,0
2013,53.72005,7.25419,9.277260274,1.914246575,41.2598875,0,0,3,0,0,0,3.214285714,95.35714286,1.8,2,134.1533333,52.025,0,0,0,6.75,35.65853659,0,0,0,12.5,1,0,0,0,0,0,0,1,29.50757576,1,0,0,2,0,0,42.09895833,9.5,121.8,0,2.5,0,1,33.76944444,527.7903226,299.7777778,1,10.07142857,0,0,0,0,0,36,0,0,0,147.825,0,0,0,0,0,1.444444444,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8.125,0,1,1.277777778,0,0,0,0,2.166666667,1,0,1,0,929.2141026,1,147.3502347,81.31089744,63.47826087,0,21.38803419,0,0,282.0903509,0,0,0,462.1551724,13.25,0,0,400.4,0,1,0,0,0,0,540.6907407,7,0,0,0,11.41666667,0,0,0,0,0,29.33333333,23.8030303,302.3583333,179.7173913,0,3.222222222,0,0,0,8.75,0,0,71.79090909,0,0,0,7.805555556,2.583333333,4.538461538,13.96078431,0,0,0,0,169.2358156,1.666666667,1,64.5,6.25,0,60.26960784,0,0,26.59259259,0
2014,53.72005,7.25419,11.18849315,1.722465753,54.98292222,0,0,2,0,0,0,2.857142857,32.23913043,5.636363636,10.9375,90.86764706,53.39814815,6,0,9.125,1,39.65740741,0,0,0,0,0,0,0,0,0,0,0,1.4,14.19791667,1.5,0,15,5.807692308,0,2,23.36324786,1,531.3787879,0,1,0,1,17.60119048,503.5277778,181.9117647,0,19.45833333,0,0,0,0,0,0,0,2.5,0,140.8611111,0,0,0,0,4.428571429,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,28.5,0,0,1,0,0,3.2,0,3.722222222,3,0,1,0,595.15,0,105.9789352,45.22631579,36.8110119,0,5.530092593,0,0,137.3034826,0,0,0,228.8913043,7.388888889,0,0,5,0,0,0,0,0,0,403.5576923,1.4,0,0,0,8.921568627,0,0,0,0,0,32.16666667,23.42307692,1673.694444,164.7666667,0,1.5,0,1,0,14.86666667,1,0,72.53525641,0,0,0,3.833333333,9.4,6.25,29.6372549,0,0,1.5,0,99.29022989,11.33333333,0,25.09090909,0,0,44.05555556,0,0,50.78723404,0
2015,53.72005,7.25419,10.54246575,2.185205479,71.79604556,0,0,3.263888889,0,0,0,3.770833333,104.6290323,7.142857143,3.653846154,169.745098,73.97881356,0,0,34.78645833,8.666666667,79.92687075,0,0,3,9,0,0,0,0,0,0,0,1.55,37.30482456,1,0,4.7,8.375,0,0,47.63178295,2.666666667,549,0,2.571428571,2,1.166666667,35.30147059,1003.833333,66.10526316,0,18.2962963,0,0,0,0,0,30,0,0,1,62.38333333,1.666666667,817.25,20,0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,3.1,0,1.5,29.125,0,1,1.210526316,0,1,11.74,0,3.34375,4.888888889,0,0,0,1087.366414,0,211.007449,79.921875,71.55029762,1,8.76962963,0,4,265.5890547,46.66666667,1,287.4285714,517.2105263,9.5,0,0,15.5,0,2,0,0,0,0,676.7099359,20,0,0,0,11.49806202,0,1,1,0,0,26.21052632,27.57692308,697.6470588,410.475,0,2.363636364,0,0,0,18,0,0,89.73706897,0,0,0,4,2,5.45,15.88461538,0,1,1.333333333,0,305.2997076,24.83333333,0,36.76923077,0,0,93.13953488,0,0,76.57333333,0
2016,53.72005,7.25419,10.42213115,1.863114754,84.26324444,0,0,0,0,0,0,4.5,133.45,7.333333333,3.666666667,85.26923077,61.31,0,0,14.97777778,1,77.72916667,0,0,0,0,1,0,0,0,0,0,0,1,59.91666667,0,0,1,9.538461538,0,0,67.3125,14.5,1249.833333,0,3.1,0,1.333333333,40.72222222,284.6,160,0,22.6,0,0,0,0,0,0,0,0,0,6.884615385,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4.357142857,0,0,2.2,0,0,0,693.0149425,2,111.5143678,32.91091954,20.55952381,0,3.355555556,0,2,54.59761905,60,0,85,966.375,45.09259259,0,0,16,0,0,1,0,0,0,499.3784722,23.5,0,0,0,1.85,0,0,0,0,0,7.5,15,316.4,176,0,2,0,0,0,7.55,0,1,175.3541667,0,0,0,1.5,0,1,21.375,0,0,1,0,113.6419753,12.33333333,0,2.8,0,0,56.45833333,0,0,51.15833333,0
