year,lat,long,temperature,precipitation,mzb.biomass,Accipiter gentilis,Accipiter nisus,Acrocephalus palustris,Acrocephalus schoenobaenus,Acrocephalus scirpaceus,Actitis hypoleucos,Aegithalos caudatus,Aix galericulata,Alauda arvensis,Alcedo atthis,Alopochen aegyptiacus,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas strepera,Anser albifrons,Anser anser,Anser brachyrhynchus,Anser fabalis,Anser indicus,Anser spp / Branta spp.,Anser spp.,Anthus pratensis,Anthus spinoletta,Anthus spinoletta petrosus,Apus apus,Ardea cinerea,Arenaria interpres,Asio flammeus,Aythya ferina,Aythya fuligula,Aythya marila,Branta bernicla,Branta canadensis,Branta leucopsis,Branta sp.,Bucephala clangula,Buteo buteo,Buteo lagopus,Calidris alba,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris minuta,Calidris spp.,Calidris temminckii,Carduelis cannabina,Carduelis carduelis,Carduelis chloris,Carduelis flavirostris,Carduelis spinus,Certhia brachydactyla,Charadrius alexandrinus,Charadrius dubius,Charadrius hiaticula,Chlidonias niger,Circus aeruginosus,Circus cyaneus,Circus pygargus,Clangula hyemalis,Columba livia,Columba oenas,Columba palumbus,Corvus corone,Corvus corone cornix,Corvus corone corone,Corvus frugilegus,Corvus monedula,Coturnix coturnix,Cuculus canorus,Cygnus columbianus,Cygnus cygnus,Cygnus olor,Delichon urbica,Dendrocopos major,Egretta alba,Emberiza citrinella,Emberiza schoeniclus,Eremophila alpestris,Erithacus rubecula,Falco columbarius,Falco peregrinus,Falco subbuteo,Falco tinnunculus,Falco vespertinus,Fringilla coelebs,Fringilla montifringilla,Fulica atra,Gallinago gallinago,Gallinula chloropus,Garrulus glandarius,Gavia arctica,Gavia stellata,Grus grus,Haematopus ostralegus,Haliaeetus albicilla,Hippolais icterina,Hirundo rustica,Larus argentatus,Larus canus,Larus fuscus,Larus marinus,Larus melanocephalus,Larus minutus,Larus ridibundus,Larus sp.,Limicolae,Limosa lapponica,Limosa limosa,Locustella luscinioides,Locustella naevia,Luscinia svecica svecica,Melanitta nigra,Mergus albellus,Mergus merganser,Mergus serrator,Milvus milvus,Motacilla alba,Motacilla cinerea,Motacilla flava,Motacilla flava thunbergi,Muscicapa striata,Numenius arquata,Numenius phaeopus,Oenanthe oenanthe,Pandion haliaetus,Parus caeruleus,Parus major,Parus palustris,Passer domesticus,Passer montanus,Phalacrocorax carbo,Phasianus colchicus,Philomachus pugnax,Phoenicopterus ruber ruber,Phoenicurus ochruros,Phoenicurus phoenicurus,Phylloscopus collybita,Phylloscopus trochilus,Pica pica,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps auritus,Podiceps cristatus,Podiceps grisegena,Podiceps nigricollis,Prunella modularis,Recurvirostra avosetta,Saxicola rubetra,Saxicola torquata,Sitta europaea,Somateria mollissima,Stercorarius parasiticus,Sterna albifrons,Sterna hirundo,Sterna paradisaea,Sterna sandvicensis,Streptopelia decaocto,Sturnus vulgaris,Sylvia atricapilla,Sylvia borin,Sylvia communis,Sylvia curruca,Tachybaptus ruficollis,Tadorna ferruginea,Tadorna tadorna,Threskiornis aethiopicus,Tringa erythropus,Tringa glareola,Tringa nebularia,Tringa ochropus,Tringa stagnatilis,Tringa totanus,Troglodytes troglodytes,Turdus iliacus,Turdus merula,Turdus philomelos,Turdus pilaris,Turdus viscivorus,Vanellus vanellus
2007,53.49431,8.0611,11.5690411,2.931232877,5.9745,0,0,0,0,0,6,1,0,0,0,0,10,33,20,31,46,0,17,2,18,0,0,0,1,0,1,0,0,0,35,3,0,20,28,2,2,0,13,0,6,2,2,0,19,7,2,3,0,0,0,0,0,11,0,1,0,0,6,0,1,6,0,0,0,0,1,0,3,0,1,1,0,0,2,4,24,1,0,1,1,1,0,1,2,4,0,0,0,1,1,23,6,12,0,0,0,0,32,1,0,1,33,31,20,14,0,0,38,2,0,5,12,0,0,1,0,5,2,0,0,2,0,0,0,0,43,5,0,0,0,1,0,1,1,39,1,5,0,0,0,1,0,0,0,0,5,9,0,20,0,0,0,24,0,0,0,2,0,0,8,1,1,0,2,0,0,0,0,7,0,37,0,11,2,9,5,0,30,1,0,1,0,0,0,38
2009,53.49431,8.0611,9.907671233,2.148767123,11.2659,0,0,0,0,0,6,0,0,0,0,0,7,25,22,18,36,1,21,3,11,0,0,0,0,0,0,0,0,0,24,6,0,12,23,0,3,0,6,0,4,0,2,2,16,6,2,0,0,0,0,0,0,7,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,5,0,0,0,0,0,20,2,6,0,0,0,0,25,0,0,0,26,25,18,17,0,0,30,0,0,3,11,0,0,0,1,3,2,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,29,0,6,0,0,0,0,0,0,0,1,2,4,0,15,0,0,0,14,0,0,0,5,0,1,4,3,1,0,0,0,0,0,0,6,0,26,0,12,0,8,1,0,21,0,0,0,0,0,0,28
2010,53.49431,8.0611,8.39260274,1.908767123,16.1935,0,0,0,0,0,8,0,0,0,0,7,5,19,19,24,36,0,16,7,17,0,0,0,0,0,0,0,0,0,22,0,0,10,17,0,1,2,18,0,0,0,2,0,16,3,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,6,0,0,2,0,0,4,0,0,0,0,0,17,2,6,0,0,0,0,22,0,0,0,23,31,14,12,0,0,34,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,32,2,1,0,0,0,0,0,0,29,0,3,0,0,0,0,0,0,2,0,3,3,0,18,0,0,0,14,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,5,1,27,0,14,1,9,0,0,28,0,0,0,0,0,0,23
2011,53.49431,8.0611,9.968493151,2.111780822,59.085,0,0,1,1,0,6,0,1,0,0,9,6,26,29,28,42,1,23,12,24,0,0,0,0,0,0,0,0,0,22,4,0,19,28,1,3,2,18,0,2,1,2,0,12,1,1,1,0,0,0,2,1,5,0,0,0,0,4,0,0,7,1,0,0,1,3,1,4,1,1,2,0,1,0,2,30,1,0,19,1,1,0,1,0,0,0,0,0,2,0,22,3,2,0,0,0,0,29,0,1,1,32,43,21,13,1,0,43,0,1,2,8,1,0,1,0,6,4,0,0,1,0,2,0,0,41,4,0,0,2,1,0,2,2,25,2,2,0,0,0,1,0,2,1,2,6,9,0,17,0,1,0,14,0,1,0,2,0,0,6,0,0,0,1,1,1,1,0,6,0,33,0,14,3,10,0,2,26,1,0,2,0,1,0,31
2012,53.49431,8.0611,9.699180328,2.007650273,7.098,0,5,4,9,9,5,2,0,19,0,10,8,20,29,27,37,0,13,4,16,0,5,0,0,0,22,0,0,1,21,6,0,20,27,0,2,0,22,0,4,31,0,0,15,2,1,1,0,0,10,18,18,4,2,7,0,1,3,0,11,4,1,0,2,3,28,0,36,0,22,24,2,4,0,5,27,9,7,16,16,21,2,20,1,5,0,14,0,23,0,23,3,4,8,0,0,0,26,0,3,14,25,34,16,9,0,0,32,0,1,1,6,5,2,6,0,7,3,0,2,19,1,12,0,0,34,7,5,0,23,23,1,21,11,26,12,2,0,6,1,12,3,21,1,1,8,7,2,18,0,0,3,21,1,7,1,2,0,0,5,0,0,0,26,6,4,5,4,1,0,29,1,11,1,8,0,0,22,20,4,22,9,9,3,26
2013,53.49431,8.0611,9.382191781,1.999726027,2.5337,1,0,5,10,10,3,1,0,12,1,11,8,8,21,13,32,0,5,6,11,0,6,0,0,0,16,1,1,4,17,1,1,11,15,0,1,0,15,0,1,27,1,0,16,2,0,1,0,0,4,18,17,5,1,5,0,0,1,0,9,7,2,0,6,3,27,0,34,0,22,20,1,5,0,3,11,5,11,8,15,19,1,17,2,3,1,17,0,18,0,14,3,2,6,0,0,0,18,1,3,15,27,29,16,11,0,0,27,0,3,4,6,3,0,3,0,1,0,0,1,22,0,16,0,1,27,5,10,0,19,19,0,21,12,21,8,3,0,6,0,12,5,19,1,1,1,5,0,11,0,1,2,18,1,3,3,0,0,0,4,0,0,1,29,8,1,5,1,0,0,26,0,4,1,7,0,0,17,12,5,20,7,5,4,21
2014,53.49431,8.0611,11.30328767,1.832054795,44.29,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
